video_id,title,channel,upload_date,description,views,likes,comments,year,month,year_month,genre
wcb20_MibgQ,RINYU - FRIENDZONE (Official Video) | Chakap By Adrenaline,Akumba Music,2020-10-10 14:59:12+00:00,"New Music: Friendzone (More than Friends)
Performed by: RINYU
Written and Composed by: Achu Normad & Rinyu 

To Stream Boomplay, Apple Music, Spotify, Amazon, Deezer
Here: https://smarturl.it/rinyu-friendzone

-------VIDEO-----------
Directed by: Mr. Adrenaline (Buea, Cameroon)
Story: Achu Normad
Male Vixens: Benoit Yuven, Muss, Che Rolly, Dieudonne, Fiax Theo, YR Berinyuy
Female Vixens: Gilga Achu, Rannybel Ngwe, Nissa, Ella Bechi, Noela Atuh
Makeup: Gilga Achu (Niki Heat Beauty Studio, Douala, Cameroon)
Costume Design: Lady V Stitches (Limbe, Cameroon) Women
                                Billy SS Fashion (Doula, Cameroon) Men

-------AUDIO-----------
Produced by: Tony Ef Beatz (Douala Cameroon)
Production Director: Achu Normad
Guitar: Achu Normad
Record Label: Akumba Music LLC

Follow @RINYU 
Instagram @Rinyu_Official
Facebook & Twiter: @RinyuOfficial 

Follow Akumba Music: Facebook, Twitter, IG @AkumbaMusic
Digitally Distributed Worldwide by Akumba Music LLC

Friendzone is typically Afrobeats at its absolute best, retaining that African pop feel. Rinyu's beautiful and Soulful voice blends effortlessly in a highly melodic manner with some fancy afro-cuban style guitar rhythm. The entire ensemble rides steadily on an African Pop style beat. 

In this Action packed music video, The Hopelessly romantic Rinyu plays the role of a girl trapped in the Friendzone. Basically, Her Crush (Yuven) does gestures that can be interpreted as being onto love but he doesn't follow up on these, meanwhile Rinyu tries to get more than friendship out of him.  


----------------------------LYRICS--------------------------------------------------------------
Rinyu - Friendzone 

Na me and you fo this world 
Na water rain go carry me comot oh
Everywhere you go I go di follow you 
Ayayaï
Mumu di laugh ndiba di kair yi
Shey you no dey see sey i di feel you 
Na me and you oh tara 
Na awawa go carry me
 comotam fo here oh 
Everywhere you go I go di follow you 
See the things you do for me oh bebe
If no be love na weti you di do fo here oh


More than friends 
I think sey me and you be more than friends 
Oh baby tell me why you di Friendzone me ayayaï
More than friends, more than friends 
Everywhere you go I go di follow you 


On dit l'amour est toujours comme ça 
Mais tout ce qui sera sera 
Est-ce que tu sais que pas aimer moi en retour fait si mal ayayaï 
Tu es comme ça moi je te kiffe très mal 
Mais tu ne vois pas que c'est sérieux oh oh 
Na me and you oh tara 
Na awawa go carry me
 comotam fo here oh 
Everywhere you go I go di follow you 
See the things you do for me oh bebe
If no be love na weti you di do fo here oh

#Rinyu #Afrobeats #Cameroon #AkumbaMusic #Afropop",2164752,16634,1174,2020,10,2020-10,Hip Hop/Rap
CQPh1cyQcnE,Stanley Enow - Parapariparo (Official Music Video),Stanley Enow,2022-07-22 16:00:11+00:00,"► Subscribe to channel : http://bit.ly/33mp362 


Follow Stanley Enow :
Instagram : http://bit.ly/2NWs4mO
Facebook : http://bit.ly/33sbKAN
Twitter : http://bit.ly/2K330cV


© Copyright: 2022 MotherlandEmpire / Swiss X Africa
℗ Production: 2022 MotherlandEmpire / Swiss X Africa

LYRICS :

Whoa
Prrrr
Motherland Baby 
Swiss X

Yéyéyé Ayo eh
Yéyéyé Ayo eh
Yéyéye Ayo eh
Ayéyéye Ayo eh
Yéyéye Ayo eh
Yéyéyé Ayo eh

Mami t’es sexy 
Ma’a je t’apprécies
Mami t’es Magique 
Parapariparaaa

You drive me crazy yeah 
Oh no no no no no no no
Tu me mets K.O

I go chave korobo 
Chop Kalaba
Push ma Libido
Rararara

I go chave korobo 
Chop Kalaba
Push ma Libido
Rararara

She got ma pirikarago
Parapariparo
Parapariparo
Parapariparo

She got ma pirikarago
Parapariparo
Parapariparo
Parapariparo

Yéyéye Ayo Hé
Yéyéyé Ayo Iyé
Yéyéye Ayo Yé


She rolling with the godfather 
She know say I be don Dada
Is a must I must protect her
Yayayaya

Sweetness 
Girl imma give you some sweet sex 
Mami you know say you my princess 
Sweet Sex
Smoking Swiss X

She got ma pirikarago
Parapariparo
Parapariparo
Parapariparo

She got ma pirikarago
Parapariparo
Parapariparo
Parapariparo

Rapapapapapapapa

Scott Storch
Alki David
Illa Illa 
Ndika


I go chave korobo 
Chop Kalaba
Push ma Libido
Rararara

She got ma pirikarago
Parapariparo
Parapariparo
Parapariparo",222653,8231,1127,2022,7,2022-07,Hip Hop/Rap
E-dWiHvuRq0,WATTO DE SOUZA - LA FILLE LÀ (Vidéo Officielle) By N E Films,Watto De Souza,2021-11-12 17:00:10+00:00,"Suivez Watto De Souza sur les RS en vous abonnant sur:
Facebook :  https://www.facebook.com/WattoDeSouzaOfficiel/
Instagram : https://www.instagram.com/invites/contact/?i=nlgzwugjf1t4&utm_content=hvud8qy
Tiktok: https://vm.tiktok.com/ZMR3msN45/

QUI EST WATTO DE SOUZA?
#WattoDeSouza est un jeune prodige de la #musiquecamerounaise il a opté pour le rythme populaire #Mbole qui monte en puissance au #Cameroun en ce moment. Il nous livre ici son deuxième single intitulé #LA_FILLE_LA. 
Dans ce titre il nous parle de la vie des filles des quartiers populaires de #Yaounde milieu dans lequel il grandit. A tort ou à raison elles sont très souvent cataloguées comme étant faciles, mais l'auteur nous fait comprendre que ce n’est pas toujours le cas, qu'il y en a qui sont digne d'être femme et mère , et que si tu attrapes ta perle rare dans le #kwatta tu la serres, la colles et tu lui fais des enfants, en somme il ne faut pas perdre le temps à la #femme camerounaise quand on l'aime, d’où qu'elle soit. 

Il ambitionne d'inscrire son nom à la suite de ceux des artistes désormais connus tels que #PetitMalo, #HappyDEffoulan, #PetitBozard, #DjLexus, #CrazyMIX et autres #PetitVirus qui ont réussi à faire du #Mbolé, un #RythmeCamerounais presque incontournable aujourd'hui.

Le titre LA FILLE LÀ est disponible sur toutes les plateformes de téléchargement légal.
Contacts pour shows et spectacles: Cameroun (+237) 651932965,  695241471 / USA: +1 518 937 3300 / jellsprod@gmail.com

Label: JELLS PRODUCTION
Music Producer: Roslin Ikit (Free Music)
Distribution: JELLS PRODUCTION (powered by Tunecore)
Photos: Monster Shoot
Management: Stephane Bikee
Partenaire: Agence Futurist
Supervision: Jules Eloundou, Thierry Francois, OGF Adaboy's.",5188144,25777,776,2021,11,2021-11,Cameroonian Pop/R&B
W4vgjx_gy4o,"🚨 [LIVE] C'comment du Mardi 10/02/2026, Invité : STANLEY ENOW , Artiste Musicien",Canal2 International,2026-02-11 05:38:09+00:00,"🚨 [LIVE] C'comment du Mardi 10/02/2026, Invité : STANLEY ENOW , Artiste Musicien 

#Canal2international,#ccomment  

Joue maintenant sur BetsCentral: https://tracking.betscentral.live/s/5HNT


TNT : n°1 | Canal+: 04 | www.canal2international.net
Téléchargez l'application ici : https://shorturl.at/fKOU2
Via 2Play: https://www.2play.cm
Via Starnews: https://bit.ly/Canal2_by_Starnews

Abonnez-vous https://goo.gl/hc9PXq pour ne rien rater
Un programme de Canal 2 International.


Découvrez nos playlists 
( ( ( ( Cliquez sur tous les liens ) ) ) 

INFO
https://goo.gl/GHBAJC
https://goo.gl/mRKRAU
https://goo.gl/XwdAEv
https://goo.gl/nrpUxb
https://goo.gl/bcme2M
https://goo.gl/tajemz 
https://goo.gl/9krKHR
https://goo.gl/DWQ3hb
https://goo.gl/93uJMH
https://goo.gl/EFs284
https://goo.gl/hVisc7
https://goo.gl/jxLVYM
https://goo.gl/tHCXDJ

DIVERTISSEMENT & SOCIETE
https://goo.gl/Hs8Rhu 
https://goo.gl/YDVPFk
https://goo.gl/B5Vrv4
https://goo.gl/7dPBSY
https://goo.gl/ciGK7P
https://goo.gl/eKoenX
https://goo.gl/WtZt7N 
https://goo.gl/jzns4k 


Toujours plus près de vous ... aussi sur les réseaux sociaux :
Twitter : @canal2inter
Facebook : https://www.facebook.com/Canal2International/
Skype : Canal2 skype
Whatsapp : +237 652 551 091",1273,18,3,2026,2,2026-02,Hip Hop/Rap
_Cz5zw3rkJk,Grace Décca / Ben Décca - Mumi,Cantos Music,2015-03-12 20:18:52+00:00,"Buy on iTunes: 
Taken from Grace Décca / Ben Décca « Le duo Décca »
Extrait de Grace Décca / Ben Décca « Le duo Décca »

Production: TJR Productions",274227,911,112,2015,3,2015-03,Cameroonian Pop/R&B
ehIsSH7jync,LETTRE A LA REPUBLIQUE DRILL BY KEKO,LE MAUVAIS BB,2023-10-30 11:22:50+00:00,RAPPEUR DE 19ANS PAS ENCORE SIGNÉ.,139830,5426,155,2023,10,2023-10,Drill/Trap
rYjUxJhJgb0,Charlotte Dipanda - L'ombre d'une autre,Charlotte Dipanda Officielle,2021-02-26 18:00:11+00:00,"Charlotte Dipanda - L'ombre d'une autre

Auteur : Charlotte Dipanda
Co-Auteur : Lise Helene Tille Koum Mbappe Engome
Compositeur : Charlotte Dipanda
Arrangement: Guy Nsangué
Réalisateur : DeClo Films

Stream et télécharge le titre ici: 👉🏾https://CharlotteDipanda.lnk.to/CDAlbum

Retrouvez CHARLOTTE DIPANDA sur ses différents réseaux sociaux.
Facebook: https://web.facebook.com/charlottedipandaofficiel/
Instagram: https://www.instagram.com/charlottedipandaofficiel/
Twitter: https://twitter.com/charlottedpa​

www.charlottedipandamusic.com

Booking :
ULIVE AFRICA
Contact : Guylaine Cléry 
booking@ulive.africa
Whatsapp: +33 6 11 88 66 72.

#CharlotteDipanda #LombreDuneAutre​ #AlbumCD

Music by Charlotte Dipanda performing L'ombre d'Une Autre
© 2021 Universal Music Africa",1817808,23257,1419,2021,2,2021-02,Cameroonian Pop/R&B
OeoDS5cKy8A,Magasco (feat. Duc-Z) - Fine Boy (Choregraphy By King Creol),EMPIRECOMPANY,2014-05-10 14:41:53+00:00,"La chorégraphie du titre de Magasco feat Duc -Z FINE BOY,orchestrée par le jeune chorégraphe camerounais King Creol
Itunes:https://itunes.apple.com/fr/album/fine-boy-feat.-duc-z-single/id863219982 - Abonnez-vous : http://bit.ly/1qIshGr",21495,189,29,2014,5,2014-05,Hip Hop/Rap
cM6mDyzH76o,super compilation musiques chrétiennes bamiléké cameroun,ADORATION VOICE ,2021-07-26 15:19:28+00:00,"abonnez vous , suscribe , liker , partagez je vous aime",58066,476,22,2021,7,2021-07,Other
iCwyVsUw5cw,"DUC-Z ""avec toi la-bas"" live in douala (RnB CAMEROUN)",Duc-Z,2010-04-20 22:04:46+00:00,un mec chante un diner au chandelle avec sa belle en live cetait le 27 mars 2010 et c'etait magnifique,1702,2,1,2010,4,2010-04,Cameroonian Pop/R&B
1r5ObxmvbqU,TENOR - ALELOUYAH (Official Video of brain films) By Shamak Allharamadji,TENOR officiel,2015-03-30 00:26:00+00:00,"We speak with acts the clip of the single alelouyah by shamak allharamadji is finally. When you make film with your kept silent brain finished by a brain films, the continuation(suite) is be cause WE DO NOT DREAM ANY MORE BUT WE REALIZE...
#TUYAMO
f

Booking: +237 679 348 737 | +237 694 221 801 | taphisonline@gmail.com 

production company: brain films
director: shamak allharamadji
avalaible on : https://soundcloud.com/tenor-henry/alelouyah
Lyrics explained:http://genius.com/Tenor-alelouyah-annotated
© 2015 937 music star 
© 2015 Vibri entertainment",333005,3147,23,2015,3,2015-03,Cameroonian Pop/R&B
F0G7j1UdjME,Kocee x KS Bloom - Stranger [Clip Officiel],Kocee,2025-01-24 17:00:06+00:00,"Kocee x KS Bloom - Stranger [Official Video]

Produced by: Smash Lazer
Mixed & Mastered by: Scotty
Directed by: Bushboy Films

Mon Concert le 15 Mars, 2025
Achetez vos Billets sans vous déplacez: https://ayati.me/bl05

___________________________LYRICS__________________________
 
Ah Eh Ah Oh Oh Oh
Smash On The beat
Show Me Love
Ah Eh Ah Oh Oh Oh
Yah Yah Yeah Yeah
Show Me Love
 
See See
Tu Vois Dans La Vie
Comme Nous Tous On Est Venu Sans Cale (Cale)
On Va Rentrer Sans Cale (Cale)
Personne Va Rester
Pendant Que Tu Vis
Tu Cherches Le Soutien
Mais On Ne Te Gère Pas
Quand Tu Meurs On Va Plus T’aimer (T’aimer)
Mais Tu Ne Peux Plus Parler (Parler Parler)
Le Même Jour Qu’on T’enterre
Tes Proches Vont Boire La Bière
Ils Vont Njoka
Ils Vont Bouger Bouger
Famille Va Réclamer Toutes Tes Propriétés
On Top My Head
Ils Vont Commencer La Guerre
Oh Ah
Just Hold On
 
Nous Tous Nous Sommes Des Strangers Sur Cette Terre Eh
Les Voitures Maison Ça Va Rester Sur Cette Terre
Love Your Neighbor As Yourself
C’est Ça Le Nécessaire Eh
Le Pouvoir L’argent Ça Va Rester Sur Cette Terre Eh Eh Eh

Et Moi Je Dis Que L’homme Le Plus Riche
C’est Celui Qui A L’assurance De Son Salut (Salut)
L’argent Voiture C’est Bonne Pour Ton Paiya
Mais Est-Ce Ça Envoi Au Paradis
Félicitations Mon Bébé Tu Est Jolie Oh
Tu Est Jolie Oh
Mais Faut Damer
Si On Commence À Se Gérer Sans La Permission De Dieu
Est-ce Qu’on Se Verra Au Paradis Eh
Faut Pas Donner Raison Aux Pkapkatos (Yélélé)
Qui Veulent Couler Ton Bateau (Yélélé)
J’ai Jésus T’inquiète Pas Pour Moi (Yélélé)
Yélélé (Yélélé)
Yélélé (Yélélé)
Et Puis Le Djai À Quoi Ça Sert
Si Tu N’as Pas La Paix Du Cœur Oh Ah
Faut Wanda Faut Wanda
Just Hold On

Nous Tous Nous Sommes Des Strangers Sur Cette Terre Eh
Les Voitures Maison Ça Va Rester Sur Cette Terre
Love Your Neighbor As Yourself
C’est Ça Le Nécessaire Eh
Le Pouvoir L’argent Ça Va Rester Sur Cette Terre Eh
Tu Vois Dans La Vie
Comme Nous Tous On Est Venu Sans Cale (Cale)
On Va Rentrée Sans Cale (Rentrée Sans Cale Oh)
Personne Va Rester (Personne Va Rester)
Pendant Que Tu Vis
Tu Cherches Le Soutien
Mais On Ne Te Gère Pas
Quand Tu Meurs On Va Plus T’aimer (On Va Plus T’aimer)
Mais Tu Ne Peux Plus Parler (Tu Ne Peux Plus Parler)
Nous Tous Nous Sommes Des Strangers Sur Cette Terre Eh
Les Voitures Maison Ça Va Rester Sur Cette Terre
Love Your Neighbor As Yourself
C’est Ça Le Nécessaire Eh
Le Pouvoir L’argent Ça Va Rester Sur Cette Terre Eh Eh
Ah Eh Ah Oh Oh Oh
Show Me Love
Ah Eh Ah Oh Oh Oh
Show Me Love Oh Oh

©️ 2025 Power House Entertainment 

#Kocee #KsBloom #Stranger",34823864,208593,9726,2025,1,2025-01,Hip Hop/Rap
cA98htoeEgA,Daphne - Calée,DaphneMusicVEVO,2017-04-10 07:00:03+00:00,"Music video for Calée performed by Daphne.

www.stevensme.com
https://www.youtube.com/channel/UCDLsWDUlL7TAHvewDmi-8jg

Copyright (C) 2017 Stevens Music Entertainment.",14504519,92166,2568,2017,4,2017-04,Cameroonian Pop/R&B
C1YT_PQQsek,Malé BOYKA | Drill Ivoire x Cameroun 2026,Malé WRLD,2025-11-27 15:13:56+00:00,"Découvrez le son explosif de Malé BOYKA, fusion de Drill Ivoire et de Drill Cameroun, qui insuffle une nouvelle vague à la scène Rap Ivoire Tendance. Avec son flow Himra unique, il propulse le mouvement Rap Africain En Croissance vers de nouveaux sommets, mêlant AfroDrillIvoire et Trap Ivoirienne pour une expérience inoubliable. Cette performance Himra Live est un incontournable pour les fans de Rap Abidjan 2025 et d'Afrotrap Hit 2025. La scène Hip Hop Côte d'Ivoire est en pleine effervescence, et Malé BOYKA est à l'avant-garde, repoussant les limites du Rap et de la Trap français. Préparez-vous à découvrir le futur du Rap camerounais et de la Drill Kamer, avec une touche de style mboko. Inspiré par des artistes comme etoo et fecafoot, il fait sensation sur la scène hip hop française avec un rap nouveau son qui conquiert le monde. Avec son énergie débordante, Malé BOYKA est prêt à conquérir les charts, apportant un son frais à la scène Clip rap 2026. Ne manquez pas cette occasion de découvrir le meilleur du rap ivoirien, avec une touche d'inspiration africaine. Infotv présente Malé BOYKA, la star montante du Hit Ivoirien 2025. Installez-vous confortablement et profitez du spectacle !

🎧 Artistes : Malé
🎵 Titre : [ Boyka ]
📍 Origine : Cameroun, Côte d’Ivoire, Abidjan
🎬 Style : Drill / Trap / Rap Ivoire / Rap Cameroun / drill Cameroun
💿 Label / Prod : [yo mola music ]

⭐ Suivez les artistes :

Malé : [Lien Insta] : https://www.instagram.com/iammale09/
Malé : [Lien facebook ] : https://web.facebook.com/profile.php?id=61580438495690
Malé : [Lien tik-tok ] : tiktok/yomlamsicvevo",23645,514,12,2025,11,2025-11,Drill/Trap
ue7MzqzHwnQ,DUC-Z parce que c'est toi feat SAFIATH (official music vidéo ),Duc-Z,2024-03-30 07:49:50+00:00,"Please Subscribe: https://goo.gl/aQWHn3

LYRICS

J'avais decidé de ne plus aimer oowoo

Mon coeur a trop souffert,il était dur comme une pierre

Mais depuis que toi et moi on échange ooh wooo

Parfois je me sens si faible 

Envie de me laisser faire

Parce que c'est toi Oooh

Parce que c'est toi, je veux y croire

Parce que c'est toi ooohh

Parce que c'est toi

Je veux y croire


REF: 

Même si c'est compliqué,on va s'aimer

Je me suis impliqué,on va s'aimer

Malgré la distance,on va s'aimer oooh

On va s'aimer oooh yeah

INA SON KI *6


SAFIATH

tu as réussi à voler mon cœur 

du coffre fort protégé à mort 

ravivé au flux de ton sang 

il s'est ranimé 

enta hayati wana bahibak 

enta habibi wana bamoute fik

maadarsh aish min ghirak 

seulement parce que c'est toi ooh

parce que c'est toi je veux y croire

parce que c'est toi  ooh 

parce que c'est toi,je veux y croire 


REF: 

Même si c'est compliqué,on va s'aimer

Je me suis impliqué,on va s'aimer

Malgré la distance,on va s'aimer oooh

On va s'aimer oooh yeah

INA SON KI *6




3 EME COUPLET


DUC-Z : parce que je t'aime bébé


SAFIATH : moi aussi je t'aime bébé

                  inasonka baby Hal abada

 DUC-Z : Me kon wou bébé….


Et plus rien ne pourra nous séparer 


REF: 

Même si c'est compliqué,on va s'aimer

Je le suis impliqué,on va s'aimer

Malgré la distance,on va s'aimer oooh

On va s'aimer oooh yeah

INA SON KI *6",112559,758,154,2024,3,2024-03,Cameroonian Pop/R&B
vba59BZlnDA,Ben Decca en concert à Nanterre -Spécial slows- Charlotte Dipanda,citesic,2012-10-20 16:24:28+00:00,Abonnez-vous c'est gratuit! https://www.youtube.com/user/citesic/featured?view_as=public,160236,574,0,2012,10,2012-10,Cameroonian Pop/R&B
b2D04ze4LQ8,KRYS M - Je pleure (official video),KRYS M,2025-01-30 17:30:09+00:00,"JE PLEURE est l’hymne à ces âmes, qui comme nous portaient en elles des rêves et des espoirs mais qui sont parti trop tôt… 

Ce titre est dans l’album EMPREINTE disponible 👇🏽

https://onerpm.link/EMPREINTE?fbclid=IwZXh0bgNhZW0CMTEAAR2PvOs5ECXd9HHFKO2COMsAOPJRuPMCeGsCMbKCl6Rg_uEtyyxkUf4TotA_aem_ixI6TZy_gbThT9SWBCSQYA


Written and composed by Krys M 
Produced by TeddyBeatz 
Mix, Master by TeddyBeatz 
Directed by Chuzih

Facebook : https://www.facebook.com/Krys.Mofficiel/
Instagram : https://www.instagram.com/krys.moffic...
Twitter : https://twitter.com/krysmogirl
Snapchat : https://www.snapchat.com/add/mo_krys

Unauthorized upload of this video into any YouTube channel is prohibited
Copyright (C)",6512964,44381,2483,2025,1,2025-01,Hip Hop/Rap
S39zalZdIpE,Les Rythmeurs ABC_ Célébration (Clip Officiel By Léo Vouk),Les RYTHMEURS ABC,2025-04-09 15:00:06+00:00,"Célébration un nouveau titre pour la gloire de la culture Camerounaise et l’amour du MBOLE 🇨🇲🪘. Merci infiniment à Mama Lynda Raymonde pour ses Bénédictions et à tous le Répondant pour votre soutient.
 De Mvog ada pour le Monde Entier, L’histoire Retiendra ✨


Prod et arrangement :Ramzy ( jordan Eba )
Auteurs : Les Rythmeurs ABC
Percussions : Soumagris ( Rythmeurs)
Drection artistique : Ogf Adaboy’s / Ramzy 
Clip : Leo Vouk 
PROD : Adaboy’s Concepts 
Projet : Mbole Kwatta 

Management  Adaboy’s concept : (+237 698329079 / 677224487) 
Mails_  lesrythmeursabc@gmail.com

#dance #mbolé  #celebration  #camerounmusic 



Lyrique 

Intro ( Danilo de soucza)

Babah babah babah babah babah babah babah babah 
les trois djonces du secteur 
Babah babah babah babah
 Ogf adaboy's 

Refrain ( Soumagris)

Weh weh weh weweweh ( bis) 
Mbe djonces mbe sô ya oh oh oh oh weh weh weh weweweh.
Weh weh weh weweweh 
Weh weh weh weweweh 
continent 🇨🇲 a Yop oh oh oh oh weh weh weh weweweh 

Couplet 01  + Refrain 02( Thermomètre )

Abeck les gars ( eh) 
Ça va jouer ( eh) 
Un bon répondant et puis un Sia babamor ( eh) 
On fait ça ensemble ( eh) 
Dans le même rhé mâ djon yi yon ye kékélé (  iyé iyé eh) 
Yon ye kékélé kéléé
Yon ye kékélé  kéléé
Yon ye kékélé, ye kékélé mâ djon yi yon ye kékélé kéléé
Yon ye kékélé kéléé 
mama oh oh yon ye kékélé kélé ( iyé iyé eh) 
Yon ye kékélé
Ye kékélé oh oh 
Mâ djon yi yon kékélé 

Couplet 02 

La réssé  toujours free ( eh) 
Tu es trop peace ( eh) 
C'est toi la miss , on t'appelle ze baby ( eh) 
Abeck prend tes coeurs ( eh) 
Ashoueé mâ djon yi yon ye kékélé kéléé 
Le bonbon des bonbons 

Refrain (Soumagris)

Weh weh weh weweweh 
Weh weh weh weweweh
Mbe djonces mbe sô ya oh oh oh 
Weh weh weh weweweh 
Weh weh weh weweweh weh weh weh weweweh 
Continent a Yop oh oh oooh 
Weh weh weh weweweh 

Couplet 3 (Soumagris )

Dan kana man  ( eh) 
Na wise man ( eh) 
Na brisman , Diallo le monument ( eh) toujours vivant ( eh) tous le continent mâ djon yi yon ye kékélé ( Arnaud mix le mixeur)
Yi yon ye kékélé ( Elysé le Sniper) 
Yon ye kékélé ( Bop dilan, Mk )  ye kékélé 
Ye kékélé 
Mâ djon yi yon ye kékélé
( Ulrich wilstor)
Le lion Samuel Oum Gouet 
James Eto'o et Johanna Eto'o 
Franck Maxime la banque suisse 
Mayole Francine la mayo

Animation (Danilo de soucza)

Ehh ahh ehh ahh
Ahhh  ehh ahhh
Ehh ahh ehh ahhh
Chocoooooooooo 
Tchamahhh tachma loko ( bis *4) 
DJ pères ouuuu là laaaa
Tata Lili ( bingban) 
Lili ( bingban) 
Papa Sami ( bingban) 
Sami ( bingban ) 
Papa Yoki (bingban) 
Yoki ( Bingban )
Mama Linda Raymonde 
Olivier Béné le pro
Monsieur Biseck twise
Léa Mink
Paradis Abena 

Outro (danilo)

Babah babah babah babah babah babah babah babah babachirou babah babah babah babah babah 
Ramzy à fait le beat
Ehh ahhh ehh ahhh (Jordan Ebah)
Ahhh ehh ahhh ehh 
Ehh ahh ehh ahhh 
9.3.7 géni 
Ehh ahh ehh ahhh 
Ahhh ehh ahhh 
Ehh ahh ehh ahhh

(C) Tous Droits Réservés .",4986044,18047,594,2025,4,2025-04,Cameroonian Pop/R&B
nrSbOXBkM4k,TENOR - CAMEROUNAIS (Freestyle),TENOR officiel,2014-07-31 09:50:12+00:00,"Télechargez directement ici: https://bit.ly/doledab
Streamez partout : https://tenor.lnk.to/doledab
Abonne toi à la chaine des Tenor ici : http://bit.ly/TenorYouTube

""Kaba Ngondo"" est le nouveau hit single du talentueux Tenor.

Booking: +237 679 348 737 | +237 694 221 801 | taphisonline@gmail.com 

╚► merci d'avoir visionné
╚► N'oubliez pas de vous abonner pour suivre notre actualité sur :

Follow Tenor:
http://bit.ly/TenorDeezer
http://bit.ly/TenorSpotify
http://bit.ly/TenorApple

https://www.facebook.com/tenorofficiel237
https://www.twitter.com/tenor_officiel/
https://www.instagram.com/tenorofficiel237
https://www.snapchat.com/add/tenorofficiel237
https://tenorofficiel.com

Music : Jordan Eba'a
Mix & Mastering : Ekie Bozeur

(c) Under exclusive Distribution : Easy Hits Recordz, a division of HMG",48273,695,73,2014,7,2014-07,Cameroonian Pop/R&B
3Oy5ep1w8HM,ROGER BEKONO  -  Jolie poupée ( OLD BIKUTSI FROM CAMROON By DJBOCANDE),DJBOCANDE,2014-08-07 06:50:56+00:00,ROGER BEKONO  -  Jolie poupée. Bikutsi souvenir du cameroun,1925062,8176,892,2014,8,2014-08,Makossa/Traditional
pX96w2LMZ6Y,Mon berger,la mélo du quartier - Topic,2025-11-25 14:35:46+00:00,"Provided to YouTube by TuneCore

Mon berger · la mélo du quartier · Le Roy Tsala · Iza Muan

Mon berger

℗ 2025 JR'prodmuzik

Released on: 2025-11-19

Vocals: Le Roy Tsala
Vocals: la mélo du quartier
Vocals: Izamuan
Producer: Bopoungo junior
Composer Lyricist: Tene Dayan
Songwriter: Tene Dayan
Composer: Tene Dayan
Recording Engineer: Vladimir le doigté magique
Mastering Engineer: Vladimir le doigté magique

Auto-generated by YouTube.",1755287,10018,0,2025,11,2025-11,Gospel
CffFg5c_LTI,Pit Baccardi - Tromper feat Magasco,EMPIRECOMPANY,2019-06-21 17:30:19+00:00,"PIT BACCARDI - TROMPER FEAT. MAGASCO

Auteur : PIT BACCARDI & MAGASCO
Compositeur : DSK ON THE BEAT
Real video :  DR NKENG STEPHENS

Le titre « Tromper » est dès maintenant disponible sur toutes les plateformes d’écoute et de téléchargement !

Subscribe here: https://www.youtube.com/channel/UC14POhCdpyZiOKvw9B6xCoA

Retrouve sur nos différents réseaux sociaux
Facebook: https://web.facebook.com/realpitbaccardi
Instagram: https://www.instagram.com/pitbaccardi_
Twitter: https://twitter.com/PitBaccardi


#Tromper #TopAfro #PitBaccardi #Magasco #Cameroun #EmpireCompany #UniversalMusicAfrica

Music by PIT BACCARDI performing TROMPER FEAT. MAGASCO.
© 2019 Empire Company under exclusive licence to Universal Music Africa",305404,4289,247,2019,6,2019-06,Hip Hop/Rap
UKeHlQwJDzw,Calée Calée  -Daphne (Cameroon)       /by African Top,African Top,2019-04-18 14:29:45+00:00,Muisc from Daphne,31,0,0,2019,4,2019-04,Cameroonian Pop/R&B
sWWwvfLQ7DM,Dynastie LE TIGRE -  Sur Le Mur De Mon Coeur (Official Video),Dynastie Le tigre ,2017-01-01 13:00:02+00:00,"Abonne-toi à la CHAINE de Dynastie http://bit.ly/DynastieYouTube
Streamez et téléchargez ici partout : https://hmg.lnk.to/SLMDMCID

""Sur Le Mur De Mon Coeur"" est le 1er extrait du troisième album de Dynastie le Tigre qui sortira courant 2017. 

Réservez vos places pour le concert de Dynastie à la boule noire de Paris ici : http://bit.ly/FNACSPECTACLES_DYNASTIE_BOULENOIRE

Booking: +237 696 917 613 | +33 7 82 75 36 86 | westsi2corp@gmail.com

Visionnez, commentez, partagez et abonnez-vous autant que vous le pourrez. Bonne dégustation !!!

Follow Dynastie:
https://facebook.com/dynastieletigre/
https://twitter.com/dynastie_tigre
https://instagram.com/dynastieletigre/
https://dynastieletigre.com/

Réalisé par HTB
Composé par DJ Merco
Merci à la peniche cinema de Paris 17e
Rdv ici : http://penichecinema.net/peniche/peniche1.html

(c) 2016 Tiger Prod
Exclusive license Hope Music International.",261800,2503,393,2017,1,2017-01,Cameroonian Pop/R&B
